refdes	dni	device	footprint	value	
R30	unknown	RESISTOR	0402	120	
C78	unknown	CAPACITOR	0402	470n	
R29	unknown	RESISTOR	0402	4.7k	
LED2	unknown	LED	0603	blue	
R28	unknown	RESISTOR	0402	4.7k	
LED1	unknown	LED	0603	red	
R22	unknown	RESISTOR	0402	1k	
R21	unknown	RESISTOR	0402	220	
C37	unknown	CAPACITOR	0603	22u	
R20	unknown	RESISTOR	0402	47	
U7	unknown	3225 oscillator 3.3V 33MHz	tcxo3225	unknown	
C25	unknown	CAPACITOR	0402	470n	
U6	unknown	edgepads	edgepads45	unknown	
G4	unknown	terminal	adhoc	unknown	
G3	unknown	terminal	adhoc	unknown	
G1	unknown	terminal	adhoc	unknown	
G2	unknown	terminal	adhoc	unknown	
B2	unknown	SPDT	custom_bead	unknown	
C91	unknown	CAPACITOR	0402	470n	
R32	unknown	RESISTOR	0402	22k	
R31	unknown	RESISTOR	0402	22k	
U9	unknown	sgm2028	SOT25	unknown	
CONN5	unknown	CONNECTOR 1 2	CONNECTOR 1 2	unknown	
C45	unknown	CAPACITOR	0603	22u	
C43	unknown	CAPACITOR	0603	22u	
C86	unknown	CAPACITOR	0402_s	470n	
C85	unknown	CAPACITOR	0402	1u	
R27	unknown	RESISTOR	0402	8.06k	
R26	unknown	RESISTOR	0402	22k	
C82	unknown	CAPACITOR	0402	1u	
R25	unknown	RESISTOR	0402	22	
C81	unknown	CAPACITOR	0603	10u	
U8	unknown	3225 oscillator 3.3V 26MHz	tcxo3225	unknown	
R24	unknown	RESISTOR	0603	240	
R23	unknown	RESISTOR	0603	240	
C84	unknown	CAPACITOR	0402_m	470n	
C83	unknown	CAPACITOR	0402_s	470n	
C77	unknown	CAPACITOR	0603	22u	
R19	unknown	RESISTOR	0402	47	
R183	unknown	RESISTOR	0402	10	
R182	unknown	RESISTOR	0402	22	
C183	unknown	CAPACITOR	0603	10u	
C182	unknown	CAPACITOR	0402	470n	
R181	unknown	RESISTOR	0402	2.2k	
R180	unknown	RESISTOR	0402	2.2k	
C181	unknown	CAPACITOR	0402	100n	
C180	unknown	CAPACITOR	0402	100n	
U180	unknown	lmv321	SOT26	unknown	
C131	unknown	CAPACITOR	0805	22u	
C133	unknown	CAPACITOR	0402	1n	
R131	unknown	RESISTOR	0402	22k	
R132	unknown	RESISTOR	0402	33k	
C132	unknown	CAPACITOR	0805	22u	
L131	unknown	INDUCTOR	1008	4.7uh	
U131	unknown	ap3419	SOT26	unknown	
B7	unknown	SPDT	custom_bead	unknown	
B8	unknown	SPDT	custom_bead	unknown	
B9	unknown	SPDT	custom_bead	unknown	
B10	unknown	SPDT	custom_bead	unknown	
B11	unknown	SPDT	custom_bead	unknown	
R9	unknown	RESISTOR	0402_m	22k	
R8	unknown	RESISTOR	0402_m	22k	
R7	unknown	RESISTOR	0402_m	22k	
R6	unknown	RESISTOR	0402_m	22k	
R5	unknown	RESISTOR	0402_m	22k	
CONN3	unknown	CONNECTOR_5	connector5	unknown	
B14	unknown	SPDT	custom_bead	unknown	
U5	unknown	3225 oscillator 3.3V 33MHz	tcxo3225	unknown	
C170	unknown	CAPACITOR	0402	470n	
C171	unknown	CAPACITOR	0603	4.7u	
C172	unknown	CAPACITOR	0402	470n	
CONN170	unknown	CONNECTOR_5	custom_microusb1	unknown	
U170	unknown	cp2102	QFN28_5_EP_CP2102	unknown	
R150	unknown	RESISTOR	0603	10	
D150	unknown	B5819W	SOD123	unknown	
C150	unknown	CAPACITOR	0805	22u	
R155	unknown	RESISTOR	0402	22k	
C151	unknown	CAPACITOR	0402	470n	
R152	unknown	RESISTOR	0402	100k	
R157	unknown	RESISTOR	0402	33k	
R156	unknown	RESISTOR	0402	47k	
R151	unknown	RESISTOR	0402	22k	
R154	unknown	RESISTOR	0402	22k	
R153	unknown	RESISTOR	0402	8.2k	
U150	unknown	ref3012	SOT23	unknown	
U151	unknown	lm239	SO14	unknown	
C75	unknown	CAPACITOR	0402	470n	
C76	unknown	CAPACITOR	0402	470n	
C73	unknown	CAPACITOR	0402	470n	
C74	unknown	CAPACITOR	0402	470n	
C66	unknown	CAPACITOR	0402	470n	
C67	unknown	CAPACITOR	0402	470n	
C68	unknown	CAPACITOR	0402	470n	
C69	unknown	CAPACITOR	0402	470n	
C51	unknown	CAPACITOR	0402	470n	
C52	unknown	CAPACITOR	0402	470n	
R18	unknown	RESISTOR	0402	4.7k	
R17	unknown	RESISTOR	0402_s	82	
R16	unknown	RESISTOR	0402_s	82	
C121	unknown	CAPACITOR	0805	22u	
C123	unknown	CAPACITOR	0402	1n	
R121	unknown	RESISTOR	0402	10k	
R122	unknown	RESISTOR	0402	20k	
C122	unknown	CAPACITOR	0805	22u	
L121	unknown	INDUCTOR	1008	4.7uh	
U121	unknown	ap3419	SOT26	unknown	
C111	unknown	CAPACITOR	0805	22u	
C113	unknown	CAPACITOR	0402	1n	
R111	unknown	RESISTOR	0402	2.2k	
R112	unknown	RESISTOR	0402	10k	
C112	unknown	CAPACITOR	0805	22u	
L111	unknown	INDUCTOR	1008	4.7uh	
U111	unknown	ap3419	SOT26	unknown	
R15	unknown	RESISTOR	0402_m	22k	
B13	unknown	SPDT	custom_bead	unknown	
B12	unknown	SPDT	custom_bead	unknown	
CONN2	unknown	CONNECTOR_5	custom_microusb1	unknown	
C42	unknown	CAPACITOR	0402_m	470n	
U4	unknown	USB3343	QFN24_4_EP	unknown	
R14	unknown	RESISTOR	0402	470	
C71	unknown	CAPACITOR	0603	10u	
CONN1	unknown	sd_breakout	sd_breakout	unknown	
C70	unknown	CAPACITOR	0402_m	4.7u	
C72	unknown	CAPACITOR	0402_m	4.7u	
L1	unknown	INDUCTOR	0805_s	fb	
C64	unknown	CAPACITOR	0402_m	470n	
C63	unknown	CAPACITOR	0402_m	470n	
C65	unknown	CAPACITOR	0402_m	4.7u	
C62	unknown	CAPACITOR	0402_m	470n	
C61	unknown	CAPACITOR	0402_m	470n	
C58	unknown	CAPACITOR	0402_m	470n	
C59	unknown	CAPACITOR	0603	4.7u	
C57	unknown	CAPACITOR	0402_m	470n	
C56	unknown	CAPACITOR	0402_s	470n	
C55	unknown	CAPACITOR	0402_m	470n	
C54	unknown	CAPACITOR	0402_m	470n	
C53	unknown	CAPACITOR	0402_m	470n	
C60	unknown	CAPACITOR	0603	4.7u	
C50	unknown	CAPACITOR	0402_m	470n	
C49	unknown	CAPACITOR	0402_m	4.7u	
C48	unknown	CAPACITOR	0402_m	470n	
C47	unknown	CAPACITOR	0402_m	4.7u	
C46	unknown	CAPACITOR	0603	22u	
C44	unknown	CAPACITOR	0603	22u	
C41	unknown	CAPACITOR	0402_m	470n	
C40	unknown	CAPACITOR	0402_s	470n	
C39	unknown	CAPACITOR	0402_m	470n	
C38	unknown	CAPACITOR	0402_m	470n	
C33	unknown	CAPACITOR	0603	22u	
C34	unknown	CAPACITOR	0603	22u	
C35	unknown	CAPACITOR	0603	22u	
C36	unknown	CAPACITOR	0603	22u	
C29	unknown	CAPACITOR	0402_m	470n	
C30	unknown	CAPACITOR	0402_s	470n	
C31	unknown	CAPACITOR	0402_m	470n	
C32	unknown	CAPACITOR	0402_s	470n	
C101	unknown	CAPACITOR	0805	22u	
C103	unknown	CAPACITOR	0402	1n	
R101	unknown	RESISTOR	0402	47k	
R102	unknown	RESISTOR	0402	33k	
C102	unknown	CAPACITOR	0603	22u	
L101	unknown	INDUCTOR	1008	4.7uh	
U101	unknown	ap3419	SOT26	unknown	
S2	unknown	SPST	custom_button3	unknown	
R13	unknown	RESISTOR	0402	22k	
R11	unknown	RESISTOR	0402	22k	
R10	unknown	RESISTOR	0402	22k	
R12	unknown	RESISTOR	0402	50	
B1	unknown	SPDT	custom_bead	unknown	
R4	unknown	RESISTOR	0402	1k	
LED99	unknown	LED	0603	green	
R1	unknown	RESISTOR	0402	4.7k	
R3	unknown	RESISTOR	0402	4.7k	
R2	unknown	RESISTOR	0402	4.7k	
C28	unknown	CAPACITOR	0402	470n	
C27	unknown	CAPACITOR	0402	470n	
C26	unknown	CAPACITOR	0402	470n	
C24	unknown	CAPACITOR	0402	470n	
C23	unknown	CAPACITOR	0402	470n	
C22	unknown	CAPACITOR	0402	470n	
C21	unknown	CAPACITOR	0402	470n	
C20	unknown	CAPACITOR	0402	470n	
C19	unknown	CAPACITOR	0402	470n	
C18	unknown	CAPACITOR	0402	470n	
C17	unknown	CAPACITOR	0402	470n	
C16	unknown	CAPACITOR	0402	470n	
C15	unknown	CAPACITOR	0402	470n	
C14	unknown	CAPACITOR	0402	470n	
C13	unknown	CAPACITOR	0402	470n	
C12	unknown	CAPACITOR	0402	470n	
C11	unknown	CAPACITOR	0402	470n	
C10	unknown	CAPACITOR	0402	470n	
C9	unknown	CAPACITOR	0402	470n	
C8	unknown	CAPACITOR	0402	470n	
C7	unknown	CAPACITOR	0402	470n	
C6	unknown	CAPACITOR	0402	470n	
C5	unknown	CAPACITOR	0402	470n	
C4	unknown	CAPACITOR	0402	470n	
C3	unknown	CAPACITOR	0402	470n	
C2	unknown	CAPACITOR	0402	470n	
C1	unknown	CAPACITOR	0402	470n	
U3	unknown	ddr3 96pin	ddr3_96	unknown	
U2	unknown	ddr3 96pin	ddr3_96	unknown	
U1	unknown	xc7z010	bga_0.8_400	unknown	
